ch1,ch2,ch3,ch4,ch5,ch6,ch7
-1.973785656370657948e-02,-4.195292806026711119e-02,-7.762252865257482717e-03,1.413083032202920065e-02,-2.634473812102178930e-02,7.155225954369829125e-03,4.531731111488705027e-02
1.850895267985831413e-03,2.168887268578111038e-02,-7.605835549687641785e-03,1.514627083980397797e-02,2.372234708040798709e-03,1.606414902224381075e-02,-5.758747719108274488e-03
-1.592464081446896135e-02,-5.774549620528725107e-03,2.362310905743539649e-02,-3.035565033072638516e-02,1.552726935424604895e-02,-3.748992580891100102e-02,-2.795011632662105366e-02
6.951218933989388761e-03,1.089496644256384046e-02,1.119364379842487794e-02,-9.708742425952052515e-03,-8.587840604617593201e-03,1.473328171107240233e-03,1.176975438495425109e-03
-6.806331651368497868e-03,-8.897635141776112644e-03,-4.855653758571462295e-03,1.328836841471623710e-02,-3.053366702600517069e-02,2.393957154829786521e-02,5.033575554207173064e-02
4.696617455553056368e-03,8.775051467302131744e-03,6.972009676221390881e-03,1.190366763701665442e-02,2.086500835879607704e-02,1.490582372291973309e-02,1.035956569860339502e-02
-2.169130307436436048e-02,1.729254278842706077e-02,1.790784767689263673e-02,-1.285414586090504949e-02,3.522177939334949354e-02,-2.284915621405288547e-02,-2.849335996834533730e-02
-1.212017821175632830e-02,-2.711311120849601436e-02,1.154265025598040853e-02,-2.945340399652265559e-02,-3.172536652537071011e-02,-9.082961470153553749e-03,-2.285005723926910107e-02
-3.017956772814372676e-02,-1.733836416263581301e-02,-4.268930711861526617e-02,-1.857491832393507597e-02,-2.852207658944530544e-02,7.203844314153160996e-03,8.240920293276363801e-03
-8.414386293157194094e-03,7.145672045694106099e-03,-6.509741196076744563e-03,-1.274659699719969154e-02,2.736886839307915709e-03,-1.906031487199549845e-02,-2.052692858408128318e-02
-1.630905525591794247e-02,-7.842176551556378009e-03,1.990579382545891798e-03,-2.030099726281709913e-02,2.849295174388484942e-03,-1.896894235527751826e-02,-2.658908539926695472e-02
-3.318688851877638069e-03,-1.419289571494382861e-02,-1.514567800012766099e-02,-8.033817417304786601e-03,-2.116226990258006022e-02,-8.345295834365388382e-03,-8.435071706100147684e-03
-1.035854498272507918e-02,-1.037134775710480891e-02,-1.190222857015598573e-02,-5.749135820974980542e-03,-1.758931834776205141e-02,1.269840850348934180e-02,2.691822522137541848e-02
-7.948134961389095865e-05,1.987668102024724506e-02,2.199222129554819979e-02,-1.273473956906514062e-02,1.810151563549796533e-02,-2.062460322725421027e-02,-3.614761538257883332e-03
-1.149291041931481058e-02,-1.865823046004726898e-02,1.047800913390671204e-02,-1.502965568352366589e-02,1.081919947030112947e-02,-5.548580987822272770e-03,-1.242257953245711269e-02
-1.283847911064066663e-02,-4.176373638388016646e-03,-1.006303517773394877e-02,9.314439158450467035e-03,-1.860990581922011139e-02,9.739450904347975169e-03,-9.136327068745078717e-04
-3.865854092222779925e-03,-1.410326340283891283e-03,-2.526611841309235607e-03,-6.553509697852523061e-03,-1.117505566803692237e-02,-8.968090550676870165e-03,9.079586163906029975e-03
-7.866515516168326103e-03,-1.358984528716808762e-03,1.020863054961540506e-02,-1.924354520106293445e-02,4.300420168651533821e-03,-1.154947316169920024e-03,-1.499504117938727822e-02
6.250255968559489256e-03,-2.750163306932004031e-03,-3.661967783086753775e-04,1.552971476429743265e-02,1.684131392191672710e-02,-2.774928810824098951e-02,-5.920083998971576063e-03
