ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.548682159028310884e-02,7.908231962708468510e-01,1.202306890762673719e+00,1.204857373816653920e+00,1.201967144246953056e+00,1.192504309714354171e+00,1.204901481259045726e+00,1.202715778674576130e+00
3.548026507857621886e-02,7.916111697687112647e-01,1.203286195193075558e+00,1.205068970330830824e+00,1.202523255649001088e+00,1.195055984861371989e+00,1.205191159867186501e+00,1.203088903795350051e+00
3.548145717161383522e-02,7.907498825490334449e-01,1.202969694491588415e+00,1.205095196377658384e+00,1.203150892633306102e+00,1.193300031816963092e+00,1.205339575450369738e+00,1.203151488679824910e+00
3.547788089250098614e-02,7.917536248867064197e-01,1.203006053329235714e+00,1.204534316603459887e+00,1.202935123793497540e+00,1.192488216458346351e+00,1.205728793827151479e+00,1.203085327516237202e+00
3.548741763680191702e-02,7.907486904559958285e-01,1.203081751237124353e+00,1.204946780794475147e+00,1.203118706121290460e+00,1.193094991814493078e+00,1.204846644979315373e+00,1.203048372632071095e+00
3.548562949724549248e-02,7.915110339535514905e-01,1.203136587516854705e+00,1.201474213775898692e+00,1.203094864260538133e+00,1.189165853162509556e+00,1.205162549634283708e+00,1.203021550538724727e+00
3.548562949724549248e-02,7.908595551084941500e-01,1.202889824258068119e+00,1.205076718935575331e+00,1.203111553563064762e+00,1.192789219950344481e+00,1.205272818240263222e+00,1.202342653553802210e+00
3.547132438079409616e-02,7.917202462816531616e-01,1.202373051926261427e+00,1.205006385446355965e+00,1.202126884713993649e+00,1.192162179012558276e+00,1.205241823821285196e+00,1.203025722864356384e+00
3.548205321813264340e-02,7.907677639445976903e-01,1.202771211000825291e+00,1.205080295214688180e+00,1.202362919135441688e+00,1.191365860863430548e+00,1.205149436610869929e+00,1.203031683329544466e+00
3.546894019471886345e-02,7.915736188380263494e-01,1.202415967275615616e+00,1.204881215677406248e+00,1.198666834672312165e+00,1.192862533672157888e+00,1.205185199401998419e+00,1.203141355889005171e+00
3.545761531086150803e-02,7.908351172012230146e-01,1.203152680772862526e+00,1.205099368703290041e+00,1.202130460993106498e+00,1.193518780889365694e+00,1.204869890793548892e+00,1.201865220292236858e+00
3.547728484598217796e-02,7.914293755804747699e-01,1.202872538909022682e+00,1.204761410327125803e+00,1.202622199371123246e+00,1.193393611120415976e+00,1.205199504518449816e+00,1.202862406118202943e+00
3.545165484567342623e-02,7.911653269726427462e-01,1.203146124261155636e+00,1.204306626833275162e+00,1.203086519609274818e+00,1.193816804148769783e+00,1.205037379865333991e+00,1.202898168909331433e+00
3.546119158997435711e-02,7.911844004612446080e-01,1.202954197282099402e+00,1.204150462645347419e+00,1.203127050772553774e+00,1.193510436238102379e+00,1.205006385446355965e+00,1.203129434958629007e+00
3.546655600864363073e-02,7.910705555761522456e-01,1.203113341702621186e+00,1.204764390559719844e+00,1.203151488679824910e+00,1.192417882969126985e+00,1.204998040795092651e+00,1.203103804958320255e+00
3.547072833427528799e-02,7.911241997628449818e-01,1.202982211468483387e+00,1.204785848234396939e+00,1.202926779142234226e+00,1.193235658792931808e+00,1.205082679400763412e+00,1.203085327516237202e+00
3.547192042731290434e-02,7.912857283694419985e-01,1.202328944483869622e+00,1.203426862171514289e+00,1.202790880535945961e+00,1.195125722304072546e+00,1.205184603355479611e+00,1.203025722864356384e+00
3.547430461338813706e-02,7.908661116202010399e-01,1.202362919135441688e+00,1.204905057538158575e+00,1.202979231235889346e+00,1.191927336684147853e+00,1.205597067546494872e+00,1.203025722864356384e+00
3.547907298553860250e-02,7.914675225576784934e-01,1.202314639367418225e+00,1.205123210564042369e+00,1.203043604259920629e+00,1.183330557743377476e+00,1.205230498937427841e+00,1.203153276819381334e+00
3.546774810168124709e-02,7.907421339442889385e-01,1.197623157217879042e+00,1.205111885680185013e+00,1.202927971235271842e+00,1.193699382984564572e+00,1.205270434054187989e+00,1.203137779609892322e+00
3.545284693871104259e-02,7.914263953478807290e-01,1.202865386350796983e+00,1.202389145182269248e+00,1.198471927460661890e+00,1.193625473216232358e+00,1.205061817772605126e+00,1.202793264722021194e+00
3.548026507857621886e-02,7.908589590619753418e-01,1.202861214025165326e+00,1.205293679868421508e+00,1.202634120301499410e+00,1.193818592288326208e+00,1.205029035214070676e+00,1.203061485655484875e+00
3.548622554376430066e-02,7.913930167428274709e-01,1.203072810539342230e+00,1.205158973355170859e+00,1.202944660537798471e+00,1.188225887802349057e+00,1.205144072192200655e+00,1.203065061934597724e+00
3.547192042731290434e-02,7.906527269664677116e-01,1.202982807515002195e+00,1.205125594750117601e+00,1.202873134955541490e+00,1.193561100192201074e+00,1.205418253590852418e+00,1.203055525190296793e+00
3.548562949724549248e-02,7.914097060453540999e-01,1.203150892633306102e+00,1.204958105678332503e+00,1.202919626584008528e+00,1.193595074843773141e+00,1.205620909407247199e+00,1.203006053329235714e+00
3.547132438079409616e-02,7.904244411497641787e-01,1.202912474025782830e+00,1.204846644979315373e+00,1.202839160303969424e+00,1.203060889608966066e+00,1.205646539407555951e+00,1.203135991470335897e+00
3.547609275294456160e-02,7.914204348826926472e-01,1.202230000761747464e+00,1.205007577539393582e+00,1.203123474493440925e+00,1.203141355889005171e+00,1.203591967057224155e+00,1.202795052861577618e+00
3.546178763649316529e-02,7.903272855671984454e-01,1.202243709831680052e+00,1.204785848234396939e+00,1.203010821701386179e+00,1.203006649375754522e+00,1.204655910093296756e+00,1.203005457282716906e+00
3.545642321782389167e-02,7.913733472077068010e-01,1.202885055885917653e+00,1.205064798005199167e+00,1.202932739607422308e+00,1.203018570306130686e+00,1.204399014043690430e+00,1.203106189144395488e+00
3.548741763680191702e-02,7.904613960339302858e-01,1.202976847049814113e+00,1.204925323119798053e+00,1.201561236567644686e+00,1.203035259608657315e+00,1.205139899866568998e+00,1.202901149141925474e+00
3.544569438048534443e-02,7.914186467431362226e-01,1.203091287981425284e+00,1.204873467072661741e+00,1.203098440539650982e+00,1.203012013794423796e+00,1.205493951498741056e+00,1.203131819144704240e+00
3.531158391375349703e-02,7.906759727807012306e-01,1.195816540219371449e+00,1.205025458934957827e+00,1.202935123793497540e+00,1.203059697515928450e+00,1.205130959168786875e+00,1.202911281932745213e+00
3.546178763649316529e-02,7.908798206901336281e-01,1.203130627051666623e+00,1.197549247449546828e+00,1.202603125882521384e+00,1.202827239373593260e+00,1.205227518704833800e+00,1.203124666586478542e+00
3.541708414758255180e-02,7.905764330120602645e-01,1.203081155190605545e+00,1.198719882812486093e+00,1.203141355889005171e+00,1.202843928676119889e+00,1.205012345911544047e+00,1.203026914957394000e+00
3.520250740081160012e-02,7.911259879024014063e-01,1.202562594719242428e+00,1.199790978406784392e+00,1.203018570306130686e+00,1.203046584492514670e+00,1.205148244517832312e+00,1.203284407053519134e+00
3.533840600709986512e-02,7.906330574313470416e-01,1.202690744720786187e+00,1.202515507044256582e+00,1.203104401004839064e+00,1.203013205887461412e+00,1.205012345911544047e+00,1.203104401004839064e+00
3.551304763711066875e-02,7.909573067375786914e-01,1.202392721461382097e+00,1.205133343354862108e+00,1.202996516584934783e+00,1.203056717283334409e+00,1.205245400100398045e+00,1.203151488679824910e+00
3.541768019410135998e-02,7.907713402237105393e-01,1.203152680772862526e+00,1.205135727540937340e+00,1.203140163795967554e+00,1.200212383295581775e+00,1.205144072192200655e+00,1.203047180539033478e+00
3.545582717130508349e-02,7.908434618524863291e-01,1.202929759374828267e+00,1.205110097540628589e+00,1.202643060999281532e+00,1.202550077742347456e+00,1.201279902610767225e+00,1.203104997051357872e+00
