ch1,ch2,ch3,ch4,ch5,ch6,ch7
6.706637198524141308e-01,7.817746140688197620e-03,1.442954116219772936e-03,7.133186713836992682e-03,4.736409155894417619e-03,3.538579170534511889e-03,7.320345320742764617e-03
6.701304072297105119e-01,3.445446901970732490e-03,6.424263885529504260e-03,6.398186850331646393e-03,2.334639708356822316e-03,1.073554286188398155e-02,1.242280154500026088e-02
6.696654909450401316e-01,1.037523274126443164e-02,8.734391180800341048e-03,2.267435463361199173e-03,4.454106623423889112e-03,9.797514652909595481e-05,3.271177801034188745e-03
6.700661832173089305e-01,7.256866366489691730e-03,4.795417761256427422e-03,4.313588656614858984e-03,5.378947303169645013e-03,5.905181873462422848e-03,1.324713388051198366e-04
6.697952800745106128e-01,8.526221934106580774e-03,5.591363381309911833e-03,7.622317388333963058e-03,3.486052571064540175e-03,4.814267732413736976e-03,6.055609113646640701e-03
6.702486479578790846e-01,2.668872793778514357e-03,5.881191001080393610e-03,8.417815973498341334e-03,4.721060958035106121e-03,6.769821854808551718e-03,1.075491437374524739e-02
6.691740505902826763e-01,9.035990719317283509e-03,8.757711500848711084e-03,1.289248620182111178e-03,2.600476455745274421e-03,0.000000000000000000e+00,1.438856296402966483e-03
6.694559805936789454e-01,8.595959376807137814e-03,4.818589069675096280e-03,4.120842113595260363e-03,9.041951184505367042e-03,7.596016835691552123e-03,5.457327420392921527e-03
6.683961353774231506e-01,9.101704848015885335e-03,3.388896988498805996e-03,8.817837693433486224e-03,4.158020515205921447e-03,9.915531863633616008e-03,9.137393133329525102e-03
6.687416933467021929e-01,3.406927395692753435e-03,7.942021839859704849e-03,6.884858832938532160e-03,4.802421307852423535e-03,5.151481050429469050e-03,1.058995849966508189e-02
6.682509980500933588e-01,1.095339786450837474e-02,1.085035632256940892e-02,4.065037258271843659e-03,3.454909140456812779e-03,4.537255112797631065e-03,6.964133019940020944e-03
6.686348520082058267e-01,7.597208928729168483e-03,1.012914003481150092e-02,3.246218353059095348e-03,6.145686643801526877e-03,2.333820144393461068e-03,7.762686343513292009e-03
6.682609818292833959e-01,8.275956902021992800e-03,3.282204661632139638e-03,1.110695434891633207e-02,4.734770027967694257e-03,8.595735859362586481e-03,7.040426974347469696e-03
6.686711363400382746e-01,3.560111351026457819e-03,8.827150920289865768e-03,6.914065112360133838e-03,3.532991234420685203e-03,4.378259703905547362e-03,7.708148087042341820e-03
6.677990457772070565e-01,9.953604335022488495e-03,1.003243148713487201e-02,1.697391473936018169e-03,5.672500213682676179e-03,1.287385974810835833e-03,4.296750342458527036e-03
6.679777852270346594e-01,9.725616541578357976e-03,3.555193967246289902e-03,6.790161942262880855e-03,9.239391593860576610e-03,7.898361432357005676e-03,8.118824138501184659e-03
6.673954477781590677e-01,5.849377018139007012e-03,2.758205265784891176e-04,7.640124278083357430e-03,3.176555416173388463e-03,6.643385487006365706e-03,7.257834942082755890e-03
6.677845171433111071e-01,6.343276064786441959e-03,9.433851770621748747e-03,1.016862811668254284e-02,4.674643835382918250e-03,9.080098161709088816e-03,9.488241015462996891e-03
6.675108572853633015e-01,7.717982854602676787e-03,8.787960861678227945e-03,9.677560290999447394e-04,3.224760678382000874e-03,1.100674402794170684e-03,2.278238806514597432e-03
6.678182682774386203e-01,9.553135580198237470e-03,4.796833371738596849e-03,6.716252173930665689e-03,6.983504531801287656e-03,3.923401704240048193e-03,5.055592066716202253e-03
6.670159896631228102e-01,5.686358295244968095e-03,2.757534713451232408e-03,8.098782074306257878e-03,3.971010919929852424e-03,7.868186577342339838e-03,9.961054916507590742e-03
6.672785481546578135e-01,7.075295695697748216e-03,1.238726227131632315e-02,8.717180337569753121e-03,5.963966961379880451e-03,6.598011445762091282e-03,1.169435819320180370e-02
6.668790479754266309e-01,7.571802445864968950e-03,7.084012876035317846e-03,1.131743327587047491e-03,3.540292804276085406e-03,3.352314633406953091e-03,1.848414760639042901e-03
6.669089248071818909e-01,6.127656236607579437e-03,2.432838372330471677e-03,3.233552364534421526e-03,3.346577685663424361e-03,1.149326699891889013e-03,5.198717737045018168e-03
6.665903379428789188e-01,8.696616732670872651e-03,2.651363927288523208e-03,1.655437249593406934e-02,7.465631659702260184e-03,1.486897645818906384e-02,1.365661783893321046e-02
6.664786537264172361e-01,3.971979495522915717e-03,9.780229303864157453e-03,3.866926296582972288e-03,1.656934816471912529e-03,3.556609577728459329e-03,8.972660776693914403e-03
6.662938793055867004e-01,9.661616046621327933e-03,7.893742071836242283e-03,3.841892342793028735e-03,5.121306195414804946e-03,3.464892919646849791e-03,2.595037531261149780e-03
6.662369568630405192e-01,9.342656653244097234e-03,6.170497080146919097e-03,7.241294651185828900e-03,8.039102916610588873e-03,6.171316644110279477e-03,7.116720928754918449e-03
