channel,peak_lag,peak_value
1,63,0.03476514234968024
2,102,0.06596520329308433
3,102,0.05919159637292357
4,153,0.09856229358777403
5,102,0.13096676208776423
6,0,0.1647336508265732
7,0,0.11236327419927233
