ch1,ch2,ch3,ch4,ch5,ch6,ch7
1.935739747970075531e-01,3.840170177405144436e-02,3.418286113955382177e-02,9.939288875410778878e-02,3.273573966475673558e-02,1.850096605232920410e-02,2.485443860310243558e-02
2.287023340108798042e-01,6.352106084910968953e-02,4.018624167698980898e-02,1.237950332341160031e-01,5.197016082669714265e-02,1.081260174265707974e-02,3.775884573529819654e-02
2.383470819409039265e-03,2.559862255005174170e-02,9.137799847424687982e-03,8.769726396205368424e-02,2.881592738770422102e-04,1.869710509345168248e-02,4.251494633977559445e-03
1.853840572099756390e-01,2.189359738914009590e-02,1.999546738177926386e-03,8.258795320283041086e-02,7.850138347188684307e-02,2.845200242026635351e-02,2.575208466042888666e-02
4.864025695803841920e-02,5.038342889513347522e-02,3.360103558945226609e-03,6.054734503034109316e-02,4.130396680855774605e-02,3.991278488391003521e-02,8.795963662730832411e-03
1.285045300131482104e-01,2.868452601084681142e-02,2.568405120953975995e-02,8.003687410233184529e-02,7.961124546428166582e-03,1.869710509345168248e-02,3.174354426748782210e-02
6.277991089581269613e-02,3.941498085602535006e-02,9.073426823393404561e-03,1.385924841100465432e-01,2.181682192264311482e-02,4.035679980398754196e-02,1.625488979909817111e-02
7.648039775853265887e-02,4.079304040750986182e-02,3.072430472032650073e-03,7.807956953155281710e-03,5.805937206284150776e-02,1.586882462527228199e-02,1.534153616292432964e-02
2.621960952515567378e-02,2.564988255066924516e-02,1.506011805830276273e-02,4.158948945312812562e-02,2.387729630223001109e-02,2.216490373987767271e-02,4.997955244886442827e-03
1.132397786664716133e-01,1.193604424593064373e-02,1.219589715375768435e-02,1.395319656206805981e-02,1.000794829201590019e-02,1.189200225178410619e-02,2.334644091051818471e-02
2.269811900831684159e-01,5.979619552015225104e-02,1.600821068805480252e-02,7.074331678107426136e-02,4.602107895840612528e-02,5.768148791966609679e-02,9.063974226835247450e-03
7.910300244128865010e-02,3.448209986636885382e-02,3.038238438788809503e-03,1.170541397958735352e-02,5.193082175645580278e-02,2.079518883965647547e-02,1.536678048607265090e-02
2.498920261731167880e-01,3.206346931466041994e-03,9.946038926928579826e-03,3.551696751951083364e-02,1.209109581369105513e-03,1.755865624252805901e-02,4.399489478443086021e-02
1.059477455553705649e-01,1.358947728910453456e-02,2.596218755215140561e-02,1.174236886375301658e-02,1.498547433464914036e-02,7.772295606807233526e-02,1.510928838994796131e-02
2.748782962415561304e-01,2.042851504590958989e-02,1.176517290233114466e-02,1.452301703404956790e-02,3.877726717939689038e-02,4.464595055333120399e-02,1.730989213738864940e-02
2.580147097128284717e-01,2.523145789446590292e-02,4.521053516569573105e-02,5.647277102776793178e-02,2.988544521181646374e-02,2.225367493474550429e-02,4.103675097315351294e-03
3.667874773487425077e-01,5.069933355010181053e-02,3.916185509283032218e-02,4.195596690214009605e-02,6.965128476062298901e-02,1.573173392594640063e-02,2.274464429588207715e-02
2.635865525706473367e-01,1.990518620239600800e-02,2.367179816204334486e-02,3.333713424017292759e-02,2.801743542187118408e-02,3.625067507235257835e-02,2.626727922203753174e-02
2.926428666881164542e-01,8.654978792816736544e-03,4.943769707708334238e-02,3.756668033763665981e-02,6.330219724227825751e-02,2.490552563335768355e-02,1.889537587741796365e-02
1.185970447775177572e-01,1.500568381779276983e-02,6.381910748288710522e-02,3.796603150523769621e-02,6.627289309201778167e-02,1.504866461539222655e-02,8.071732080820193111e-02
1.503462970669617871e-01,1.648864755658752124e-02,5.294245060767543976e-02,8.100655062837724962e-02,4.412022817399341434e-02,1.782504930000072818e-02,5.958389543734043947e-02
2.211957241530091434e-01,1.498184195704044264e-02,1.827795583167635129e-02,3.307317679239774044e-02,9.202631009172179688e-03,4.198583467632488464e-02,2.462457501620263223e-02
