ch1,ch2,ch3,ch4,ch5,ch6,ch7
1.300041234498171105e+00,1.204727435675553737e+00,1.205427194288634540e+00,1.205949927085629314e+00,1.205504680336079604e+00,1.205715680803737699e+00,1.205350900334227093e+00
1.288758669943650848e+00,1.204269671949109055e+00,1.204308414972831587e+00,1.205419445683890034e+00,1.204893136607782411e+00,1.205607796383833419e+00,1.205380106613648694e+00
1.298073088893066496e+00,1.205395603823137707e+00,1.205801511502446077e+00,1.204936051957136600e+00,1.202953601235580594e+00,1.204858565909691537e+00,1.205010557771987623e+00
1.251497417866875850e+00,1.206585908721197642e+00,1.205310965217466945e+00,1.205536866848095245e+00,1.202839160303969424e+00,1.205535078708538821e+00,1.205659652430969730e+00
1.297054445392423316e+00,1.205462361033244223e+00,1.204540277068647969e+00,1.204512858928782792e+00,1.203147316354193253e+00,1.205834294060980527e+00,1.205912972201463207e+00
1.291743074863323626e+00,1.203574681708178717e+00,1.205123806610561177e+00,1.205280566845007728e+00,1.202755713791336278e+00,1.197294139539496927e+00,1.205361033125046832e+00
1.295864140494363381e+00,1.205552960104103066e+00,1.205719257082850548e+00,1.205366993590234914e+00,1.202772403093862907e+00,1.205371165915866571e+00,1.205062413819123934e+00
1.292434488825141115e+00,1.205986881969795421e+00,1.205353284520302326e+00,1.205758596153091888e+00,1.202699089372049501e+00,1.203929329386869584e+00,1.205052281028304195e+00
1.292789732550350790e+00,1.205357456845933983e+00,1.205083871493801029e+00,1.193586134145991018e+00,1.203134203330779473e+00,1.208381796882366688e+00,1.205970192667268792e+00
1.295586978863117578e+00,1.204322720089282983e+00,1.205438519172491896e+00,1.204428816369630839e+00,1.202955389375137019e+00,1.208071852692586434e+00,1.205713892664181275e+00
1.289429818323829080e+00,1.205413485218701952e+00,1.205814028479341049e+00,1.205514813126899343e+00,1.202752137512223429e+00,1.207812572456904876e+00,1.204468751486390987e+00
1.299111997975349153e+00,1.206023240807442720e+00,1.204914594282459506e+00,1.205807471967634159e+00,1.203094268214019325e+00,1.200121784224722932e+00,1.205508256615192453e+00
1.285994206189418509e+00,1.205353284520302326e+00,1.203557992405652088e+00,1.203981185434005896e+00,1.203037047748213739e+00,1.208545709675038937e+00,1.206069732435909758e+00
1.301763212891007937e+00,1.204925919166316861e+00,1.205448651963311635e+00,1.204970026608708666e+00,1.203103208911801447e+00,1.208305502927959241e+00,1.205932641736583877e+00
1.280656013566972451e+00,1.205460572893687798e+00,1.205926085224876987e+00,1.205477858242733236e+00,1.202700281465087118e+00,1.200069332131067812e+00,1.204742932885042750e+00
1.307231343654554401e+00,1.204664850791078878e+00,1.205282951031082961e+00,1.205946350806516465e+00,1.193543814843155637e+00,1.208028341296713437e+00,1.205451632195905676e+00
1.279403719830956465e+00,1.205129767075749259e+00,1.204909229863790232e+00,1.205312157310504562e+00,1.203097248446613365e+00,1.208683992467402435e+00,1.206184173367520929e+00
1.309983290431891767e+00,1.205350900334227093e+00,1.205555940336697107e+00,1.205012345911544047e+00,1.202930951467865883e+00,1.208281065020688105e+00,1.205627465918954089e+00
1.277471337016980346e+00,1.205769324990430436e+00,1.206009531737510132e+00,1.205295468007977933e+00,1.203138971702929938e+00,1.206751609653426316e+00,1.204902077305564534e+00
1.310945905559766977e+00,1.205428386381672157e+00,1.205384278939280351e+00,1.205928469410952220e+00,1.196207546735709615e+00,1.208368683858952908e+00,1.205541635220245711e+00
1.276523027005556532e+00,1.205018902423250937e+00,1.204415107299698251e+00,1.205297852194053165e+00,1.203409576822468852e+00,1.207593823384502274e+00,1.206141258018166740e+00
1.312016405107546468e+00,1.205409312893070295e+00,1.205356264752896367e+00,1.204801941490404760e+00,1.205294275914940316e+00,1.206337953369373439e+00,1.205771113129986860e+00
1.276421103050840333e+00,1.204951549166625613e+00,1.205701971733805111e+00,1.205454016381980908e+00,1.204998040795092651e+00,1.207735086409459813e+00,1.204906249631196191e+00
1.313253201634073442e+00,1.205181027076366762e+00,1.205279970798488920e+00,1.205962444062524286e+00,1.205424810102559308e+00,1.208385373161479537e+00,1.205649519640149991e+00
1.276461038167600481e+00,1.204450274044307934e+00,1.204964066143520585e+00,1.205397391962694131e+00,1.205811644293265816e+00,1.208876515492977477e+00,1.206262255461484800e+00
1.314153231877473793e+00,1.205483818707921317e+00,1.205497527777853906e+00,1.204899693119489301e+00,1.205423021963002883e+00,1.207396531986776766e+00,1.205613756849021501e+00
1.276047977930066413e+00,1.205853963596101197e+00,1.206021452667886296e+00,1.205504680336079604e+00,1.205259109170330634e+00,1.207830453852469121e+00,1.204975391027377940e+00
1.314113892807232453e+00,1.205297256147534357e+00,1.203723693337880762e+00,1.205965424295118327e+00,1.205501104056966755e+00,1.198953533047858899e+00,1.205607200337314611e+00
1.276117119326248162e+00,1.204969430562189858e+00,1.204723859396440888e+00,1.205328250566512382e+00,1.196992540000979988e+00,1.208865190609120122e+00,1.206438089184533213e+00
1.314145483272729287e+00,1.205623293593322432e+00,1.205256724984255401e+00,1.204881811723925056e+00,1.195733689753257112e+00,1.200554513997377670e+00,1.205625677779397664e+00
1.276775154683012392e+00,1.205362225218084449e+00,1.204852009397984647e+00,1.205552364057584258e+00,1.185816667773326394e+00,1.207791710828746590e+00,1.204723859396440888e+00
1.314363636298613081e+00,1.200548553532189588e+00,1.205637598709773828e+00,1.205908799875831550e+00,1.203998470783051333e+00,1.207749987572430017e+00,1.205588722895231557e+00
1.277430805853701390e+00,1.204773331257501967e+00,1.204904461491639767e+00,1.189605735493389993e+00,1.205633426384142171e+00,1.208811546422427385e+00,1.206479216394330978e+00
1.313914813269950521e+00,1.205591703127825598e+00,1.205440903358567128e+00,1.205108309401072164e+00,1.204985523818197679e+00,1.205881977782485182e+00,1.205541039173726903e+00
