channel,peak_lag,peak_value
1,196,0.6647833186129717
2,54,0.09504400245639277
3,105,0.09147566595558665
4,62,0.1497325935465723
5,18,0.07850138347188684
6,152,0.08460435286414736
7,211,0.13384175493654005
