channel,peak_lag,peak_value
0,317,9.084661493857086
1,290,198.666578372309
2,494,307.8333917657604
3,440,308.01646924215186
4,130,307.87233386902017
5,106,308.07978130337966
6,57,307.85378490135486
7,47,307.1988340853255
