ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.080634603576017483e+00,1.983444730454054934e+02,3.077181306741393314e+02,3.078936455123001679e+02,3.078130194917940230e+02,3.080104247344046371e+02,3.077781644795137481e+02,3.070953335875670405e+02
9.080330619851425311e+00,1.983939979546067320e+02,3.077449742251603766e+02,3.079080519566597900e+02,3.078326872387751791e+02,3.080256376297041925e+02,3.077890858398778278e+02,3.070457222516205320e+02
9.080045113568916193e+00,1.984093485366521463e+02,3.077072128900543362e+02,3.079111943139068899e+02,3.078319564857430919e+02,3.080063269145878735e+02,3.078056094414722565e+02,3.070833590130041557e+02
9.080848584276269619e+00,1.983761880846247436e+02,3.077021000030159712e+02,3.079214385654256603e+02,3.078451690489255270e+02,3.080070052155262488e+02,3.078018978597996238e+02,3.070573439666442823e+02
9.080544600551677448e+00,1.983634368614478944e+02,3.077290067349680385e+02,3.079178843400339929e+02,3.078366938634745793e+02,3.080048457389885925e+02,3.078298715150202725e+02,3.070476039704803952e+02
9.080200085663806320e+00,1.983874944910400302e+02,3.076896843540292252e+02,3.079102990520357253e+02,3.078118303789890433e+02,3.079957834477166330e+02,3.078170052548653075e+02,3.070629187897346810e+02
9.080381283805524006e+00,1.983336875836476736e+02,3.076751986354826158e+02,3.079303423083236453e+02,3.078053704268181718e+02,3.079852882606134585e+02,3.077814618088557381e+02,3.070437815241553494e+02
9.079834113101258097e+00,1.983141551392263295e+02,3.077055618411972091e+02,3.079075566420026462e+02,3.078037634854034650e+02,3.079821453073197972e+02,3.077832880953893664e+02,3.070489230214265604e+02
9.079396018909934085e+00,1.983281824979999328e+02,3.076987663148362913e+02,3.079343012493015976e+02,3.078313252724797167e+02,3.079721007313848418e+02,3.077803501820981751e+02,3.070357879442915987e+02
9.078808317042389220e+00,1.983457849437933760e+02,3.076945236557154431e+02,3.079331622044041410e+02,3.078167441864900411e+02,3.080005595684718855e+02,3.077718362536235190e+02,3.070436098627578758e+02
